loan_id,name,date_of_birth,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,CIBIL_rating,income_level,loan_rating,loan_term_type,dependent_level,edu_status,type_employment,loan_approval
1,Craig Johnson,2001-11-03,2,Graduate,No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,Approved,Excellent,High,Gold,Intermediate,Moderate,1,0,1
2,Dustin Scott,1964-06-12,0,Not Graduate,Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Low,0,1,0
3,Ms. Janice Morton,1971-09-20,3,Graduate,No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,Rejected,Poor,High,Gold,Long Term,Moderate,1,0,0
4,Sarah Brown,1965-01-14,3,Graduate,No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,Rejected,Poor,High,Platinum,Intermediate,Moderate,1,0,0
5,David Davenport,1976-12-19,5,Not Graduate,Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,Rejected,Poor,High,Gold,Long Term,High,0,1,0
6,James Johnson,1958-06-27,0,Graduate,Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Low,1,1,0
7,Dr. Michael Hodges,2001-10-06,5,Graduate,No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,Approved,Good,High,Platinum,Short Term,High,1,0,1
8,Cameron Donaldson,1994-05-27,2,Graduate,Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,Rejected,Poor,Upper-Middle,Silver,Long Term,Moderate,1,1,0
9,Olivia Trevino,1978-10-04,0,Graduate,Yes,800000,2200000,20,782,1300000,800000,2800000,600000,Approved,Excellent,Low,Bronze,Long Term,Low,1,1,1
10,Jason Thomas,1968-11-02,5,Not Graduate,No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,Rejected,Poor,Low-Middle,Bronze,Intermediate,High,0,0,0
11,Grace Zimmerman,1980-03-18,4,Graduate,Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,Approved,Poor,Low-Middle,Silver,Short Term,High,1,1,1
12,Timothy Rodriguez,1966-08-22,2,Not Graduate,Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,Rejected,Poor,Upper-Middle,Gold,Long Term,Moderate,0,1,0
13,Larry Ruiz,1965-06-14,3,Not Graduate,Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,Rejected,Poor,Upper-Middle,Silver,Long Term,Moderate,0,1,0
14,Ronald Garcia,1980-07-07,2,Graduate,Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,Approved,Good,High,Platinum,Intermediate,Moderate,1,1,1
15,Victoria Martinez,2000-04-30,1,Not Graduate,No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,Rejected,Poor,Low-Middle,Bronze,Short Term,Low,0,0,0
16,April Hall,1986-10-28,5,Not Graduate,No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,Approved,Excellent,Upper-Middle,Silver,Intermediate,High,0,0,1
17,Mrs. Kathleen Matthews MD,1988-05-10,2,Graduate,Yes,500000,1600000,4,663,1300000,100000,1300000,700000,Approved,Good,Low,Bronze,Short Term,Moderate,1,1,1
18,Courtney Sweeney,1994-01-14,4,Not Graduate,Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,Approved,Excellent,Low-Middle,Bronze,Intermediate,High,0,1,1
19,Vanessa Glover,1965-09-27,2,Graduate,No,2700000,10300000,10,736,1000000,0,6200000,3300000,Approved,Good,Low-Middle,Silver,Intermediate,Moderate,1,0,1
20,John Aguilar,1998-07-22,5,Graduate,No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,Approved,Good,Upper-Middle,Silver,Intermediate,High,1,0,1
21,Daniel Anderson,1979-12-24,2,Graduate,No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,Rejected,Poor,Upper-Middle,Silver,Intermediate,Moderate,1,0,0
22,Stephanie Davis,1963-11-12,4,Graduate,No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,Rejected,Poor,Upper-Middle,Silver,Long Term,High,1,0,0
23,Bill Smith,2001-06-06,4,Graduate,Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,Rejected,Poor,Upper-Middle,Gold,Long Term,High,1,1,0
24,Miguel Dickson,1965-02-14,0,Not Graduate,Yes,500000,1400000,2,551,900000,600000,1100000,300000,Approved,Average,Low,Bronze,Short Term,Low,0,1,1
25,Melissa Chapman,2002-09-14,0,Not Graduate,No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,Rejected,Poor,Upper-Middle,Bronze,Long Term,Low,0,0,0
26,Brian Sullivan,2001-08-20,5,Not Graduate,No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,Rejected,Poor,Low-Middle,Bronze,Long Term,High,0,0,0
27,Heather Robinson,1998-12-12,4,Graduate,No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,Approved,Good,High,Gold,Intermediate,High,1,0,1
28,Robert Carr,1991-07-12,4,Not Graduate,Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,Approved,Good,Low-Middle,Bronze,Short Term,High,0,1,1
29,Amy Perez,1999-07-24,5,Not Graduate,Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,Rejected,Poor,Upper-Middle,Gold,Short Term,High,0,1,0
30,Nicole Malone,1961-02-12,3,Not Graduate,Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,Approved,Excellent,High,Platinum,Intermediate,Moderate,0,1,1
31,Angela Lloyd,1980-02-17,2,Not Graduate,No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,Rejected,Poor,High,Gold,Intermediate,Moderate,0,0,0
32,John Stewart,1978-10-10,2,Graduate,No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,Rejected,Poor,Upper-Middle,Silver,Short Term,Moderate,1,0,0
33,Angela Edwards,1975-11-30,1,Not Graduate,Yes,800000,1600000,10,436,700000,200000,2200000,1000000,Rejected,Poor,Low,Bronze,Intermediate,Low,0,1,0
34,Ann Graham,1982-06-20,5,Not Graduate,Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,Approved,Excellent,High,Gold,Short Term,High,0,1,1
